"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1826.49/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0xa2c983d6a6490dcd69ac7a4f4b040c96014cdd72cf55e0ca82d44af75349fd78","16816321","1678677227","2023-03-13 03:13:47","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","1.75","3196.3575","0.003098533457977899","5.65944037566205","1681.01","","","Execute",""
"0xd6246062cd847117f07c12f17557ff0c5e66892ee55e17d638827bdb60b572c2","16817504","1678691543","2023-03-13 07:12:23","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.002216655702076752","4.04869947328617","1681.01","","","Execute",""
"0x7a3b178da01f9336ca5838ca535687a6f5468e1e0e681ef3d043b5673e575730","16820234","1678724675","2023-03-13 16:24:35","0xc4cc364706fe781fb00a47badb297af36a482cc1","0x4593ec16e748a24202fe835eaf10d202223765ce","","0","1","1826.49","0.001331782601184","2.43248760323656","1681.01","","","Transfer",""
"0x5872428dda21ba9601757745821f19e389d6620279b576f095b257015e2baed0","16821458","1678739483","2023-03-13 20:31:23","0xc4cc364706fe781fb00a47badb297af36a482cc1","0x230f5ed78a45452f726365b8ad1d6866f5faa68f","","0","0","0","0.001506518743234403","2.7516414193302","1681.01","","","Approve",""
"0x418b148fcb32642b15c777945790ecb9e991e529df03f582f2e17dedf642a483","16821460","1678739507","2023-03-13 20:31:47","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.00633241604457435","11.5660945812546","1681.01","","","Execute",""
"0x8614e7700d99563e33b98bf09a865d54650a2133ea1422b5afa40ee82d56de74","16821466","1678739579","2023-03-13 20:32:59","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.00441876018667655","8.07082129336285","1681.01","","","Execute",""
"0xe13d03968adcaeaae3f662dcab1953b36bca84e17427d738079e09cece050755","16827285","1678810163","2023-03-14 16:09:23","0xc4cc364706fe781fb00a47badb297af36a482cc1","0x4593ec16e748a24202fe835eaf10d202223765ce","","0","1","1826.49","0.001058638423647","1.93359249440701","1705.17","","","Transfer",""
"0x6353314c4b291b85a11c9bf67c7d3face841a46bde6e41c2775a3dab61bc1f72","16831998","1678867475","2023-03-15 08:04:35","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0.5","913.245","0.003687474700814262","6.73513566629024","1656.21","","","Execute",""
"0xce8eb38b354972521e2b853dcca543cedb15440b5bad3ab279063fba986c721f","16832085","1678868543","2023-03-15 08:22:23","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xb44b653f147569d88a684cbf6549e1968e8b2a1d","","0","0","0","0.001019982111498273","1.86298712683048","1656.21","","","Approve",""
"0x0eac741ccc80da17cd2dfb15495d898c2ffc7b8327e17fd7e980839a286488e4","16832089","1678868591","2023-03-15 08:23:11","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.0038917825225656","7.10830185964084","1656.21","","","Execute",""
"0x7361ef7c6103e9c19f9d941a88ee63c0179f0cc7e284155bea857301bd79c065","16832092","1678868627","2023-03-15 08:23:47","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0.5","913.245","0.00414586289237988","7.57237711430293","1656.21","","","Execute",""
"0x6bb21df04a08d51306148367bc4bbf38a1dbb3bd911020501f163a3906c3c49e","16835382","1678908611","2023-03-15 19:30:11","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xd04e772bc0d591fbd288f2e2a86afa3d3cb647f8","","0","0","0","0.001000189544759132","1.82683620160711","1656.21","","","Approve",""
"0x3e4da69bd106a4eb37b392a638615ff98aca5c76201cb51f69e949738eac7690","16835384","1678908635","2023-03-15 19:30:35","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b","","0","0","0","0.00583618084646935","10.6597259542678","1656.21","","","Execute",""
"0x54f121a387a8d9d9df4fd6b1433bdf5ed25c7ebf722b0286783c12c166c83763","16835387","1678908671","2023-03-15 19:31:11","0xc4cc364706fe781fb00a47badb297af36a482cc1","0x4593ec16e748a24202fe835eaf10d202223765ce","","0","0.5","913.245","0.000473729289369","0.865261809739585","1656.21","","","Transfer",""
"0xb1d3203ead9506b11260216f4f1075cfb0d7d3be91fd0792d3330d10c9f5f06f","16844789","1679022815","2023-03-17 03:13:35","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xd8bcbf6ff442ab4fb1d0cd8c1cc4a68eec38bcc0","","0","0.05","91.3245","0.000414958041561","0.757916713330751","1793.32","","","Transfer",""
"0x3985e94e19f8aae89905a2dc242b10e94703f4b8ebc8e05a150043d332492048","16845779","1679034803","2023-03-17 06:33:23","0x0594488dde8071e80a79f8287602c36b3e622ecc","0xc4cc364706fe781fb00a47badb297af36a482cc1","","0.282542862001692","0","516.06171201747","0.000357137998308","0.652308982529579","1793.32","","","Transfer",""
"0x406f39d2acf6e408343ea67aa763633e69199788b620faf656487167ac909155","16845786","1679034887","2023-03-17 06:34:47","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xd8bcbf6ff442ab4fb1d0cd8c1cc4a68eec38bcc0","","0","0.1","182.649","0.000348219375546","0.636019207241013","1793.32","","","Transfer",""
"0xcaed30abf9812cd2d5994bb27d6e73da0c52281a3c50bf0441785bd8f03594e5","16848923","1679073047","2023-03-17 17:10:47","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xd8bcbf6ff442ab4fb1d0cd8c1cc4a68eec38bcc0","","0","0.1","182.649","0.000457334177706","0.835316302238232","1793.32","","","Transfer",""
"0x3b8664e5e1d0bdb0a13f3fe27165902e5ecc9b6fa490d84b7fb496028f1388b4","16850330","1679090099","2023-03-17 21:54:59","0xc4cc364706fe781fb00a47badb297af36a482cc1","0xd8bcbf6ff442ab4fb1d0cd8c1cc4a68eec38bcc0","","0","0.08","146.1192","0.001247690920014","2.27889498849637","1793.32","","","Transfer",""
"0xce16c13a63beba7d9062b2a63b10ba18b3fd7482f0864474df2692d74a38bde3","16856218","1679161631","2023-03-18 17:47:11","0x0594488dde8071e80a79f8287602c36b3e622ecc","0xc4cc364706fe781fb00a47badb297af36a482cc1","","5.83342068226318","0","10654.6845419469","0.00046830773682","0.855359398224362","1763.20","","","Transfer",""
